iteration,tag,value
4,Episode_Reward/dof_torques_l2,-0.1367168426513672
4,Episode_Reward/feet_air_time,-0.0026484120171517134
4,Episode_Reward/flat_orientation_l2,0.0
4,Episode_Reward/lin_vel_z_l2,-0.062248438596725464
4,Episode_Reward/track_ang_vel_z_exp,0.016498317942023277
4,Episode_Reward/track_lin_vel_xy_exp,0.03034459613263607
4,Episode_Reward/undesired_contacts,-0.014244792982935905
4,Episode_Termination/base_contact,0.0
4,Episode_Termination/time_out,0.1068827360868454
4,Loss/entropy,36.583133697509766
4,Loss/learning_rate,0.001500000013038516
4,Loss/surrogate,-0.005864321254193783
4,Loss/value,0.10269945114850998
4,Metrics/base_velocity/error_vel_xy,0.6854146718978882
4,Metrics/base_velocity/error_vel_yaw,0.7261757850646973
4,Metrics/success_rate,0.04657738655805588
4,Perf/collection_time,4.023266315460205
4,Perf/learning_time,0.22915220260620117
4,Perf/total_fps,23117.0
4,Policy/mean_std,0.9867256283760071
4,Train/mean_episode_length,108.55000305175781
4,Train/mean_reward,-6.470865726470947
5,Curriculum/terrain_levels,3.4057109355926514
5,Episode_Reward/action_rate_l2,-0.06902706623077393
5,Episode_Reward/ang_vel_xy_l2,-0.014151519164443016
5,Episode_Reward/dof_acc_l2,-0.10976099222898483
5,Episode_Reward/dof_pos_limits,0.0
5,Episode_Reward/dof_torques_l2,-0.16740462183952332
5,Episode_Reward/feet_air_time,-0.002675336552783847
5,Episode_Reward/flat_orientation_l2,0.0
5,Episode_Reward/lin_vel_z_l2,-0.0669531598687172
5,Episode_Reward/track_ang_vel_z_exp,0.020695332437753677
5,Episode_Reward/track_lin_vel_xy_exp,0.03678201138973236
5,Episode_Reward/undesired_contacts,-0.015555405989289284
5,Episode_Termination/base_contact,0.0
5,Episode_Termination/time_out,0.1305643767118454
5,Loss/entropy,36.4544677734375
5,Loss/learning_rate,0.0022499999031424522
5,Loss/surrogate,-0.006894404999911785
5,Loss/value,0.0896836593747139
5,Metrics/base_velocity/error_vel_xy,0.7002107501029968
5,Metrics/base_velocity/error_vel_yaw,0.7246570587158203
5,Metrics/success_rate,0.05486111342906952
5,Perf/collection_time,3.992978096008301
5,Perf/learning_time,0.2219846248626709
5,Perf/total_fps,23322.0
5,Policy/mean_std,0.9822755455970764
5,Train/mean_episode_length,132.5399932861328
5,Train/mean_reward,-7.82468318939209
6,Curriculum/terrain_levels,3.3840842247009277
6,Episode_Reward/action_rate_l2,-0.08084915578365326
6,Episode_Reward/ang_vel_xy_l2,-0.017344877123832703
6,Episode_Reward/dof_acc_l2,-0.13947321474552155
6,Episode_Reward/dof_pos_limits,0.0
6,Episode_Reward/dof_torques_l2,-0.1977177858352661
6,Episode_Reward/feet_air_time,-0.0026676729321479797
6,Episode_Reward/flat_orientation_l2,0.0
6,Episode_Reward/lin_vel_z_l2,-0.0735323578119278
6,Episode_Reward/track_ang_vel_z_exp,0.025005437433719635
6,Episode_Reward/track_lin_vel_xy_exp,0.04316568002104759
6,Episode_Reward/undesired_contacts,-0.017350560054183006
6,Episode_Termination/base_contact,0.0
6,Episode_Termination/time_out,0.152801513671875
6,Loss/entropy,36.36201477050781
6,Loss/learning_rate,0.0022499999031424522
6,Loss/surrogate,-0.007400430738925934
6,Loss/value,0.08197048306465149
6,Metrics/base_velocity/error_vel_xy,0.7199689149856567
6,Metrics/base_velocity/error_vel_yaw,0.7192758917808533
6,Metrics/success_rate,0.05532407760620117
6,Perf/collection_time,4.0724334716796875
6,Perf/learning_time,0.21948528289794922
6,Perf/total_fps,22904.0
6,Policy/mean_std,0.9785281419754028
6,Train/mean_episode_length,157.1999969482422
6,Train/mean_episode_length/time,13.421052932739258
6,Train/mean_reward,-9.0864896774292
6,Train/mean_reward/time,-0.9458468556404114
7,Curriculum/terrain_levels,3.3624777793884277
7,Episode_Reward/action_rate_l2,-0.09268992394208908
7,Episode_Reward/ang_vel_xy_l2,-0.019117869436740875
7,Episode_Reward/dof_acc_l2,-0.14476323127746582
7,Episode_Reward/dof_pos_limits,0.0
7,Episode_Reward/dof_torques_l2,-0.2280515730381012
7,Episode_Reward/feet_air_time,-0.00270749069750309
7,Episode_Reward/flat_orientation_l2,0.0
7,Episode_Reward/lin_vel_z_l2,-0.08288167417049408
7,Episode_Reward/track_ang_vel_z_exp,0.030465256422758102
7,Episode_Reward/track_lin_vel_xy_exp,0.04877277463674545
7,Episode_Reward/undesired_contacts,-0.018805157393217087
7,Episode_Termination/base_contact,0.0
7,Episode_Termination/time_out,0.1751302182674408
7,Loss/entropy,36.26197814941406
7,Loss/learning_rate,0.0022499999031424522
7,Loss/surrogate,-0.007750991731882095
7,Loss/value,0.06291448324918747
7,Metrics/base_velocity/error_vel_xy,0.7179967761039734
7,Metrics/base_velocity/error_vel_yaw,0.7003259658813477
7,Metrics/success_rate,0.0972222313284874
7,Perf/collection_time,4.034775733947754
7,Perf/learning_time,0.22702884674072266
7,Perf/total_fps,23066.0
7,Policy/mean_std,0.9748241901397705
7,Train/mean_episode_length,177.75
7,Train/mean_reward,-10.15236759185791
8,Curriculum/terrain_levels,3.3414511680603027
8,Episode_Reward/action_rate_l2,-0.10493294894695282
8,Episode_Reward/ang_vel_xy_l2,-0.021461790427565575
8,Episode_Reward/dof_acc_l2,-0.17081788182258606
8,Episode_Reward/dof_pos_limits,0.0
8,Episode_Reward/dof_torques_l2,-0.2584797143936157
8,Episode_Reward/feet_air_time,-0.0026727698277682066
8,Episode_Reward/flat_orientation_l2,0.0
8,Episode_Reward/lin_vel_z_l2,-0.08738008141517639
8,Episode_Reward/track_ang_vel_z_exp,0.03500784561038017
8,Episode_Reward/track_lin_vel_xy_exp,0.06811581552028656
8,Episode_Reward/undesired_contacts,-0.02186988852918148
8,Episode_Termination/base_contact,0.0
8,Episode_Termination/time_out,0.196563720703125
8,Loss/entropy,36.136775970458984
8,Loss/learning_rate,0.0022499999031424522
8,Loss/surrogate,-0.006647929083555937
8,Loss/value,0.0677819550037384
8,Metrics/base_velocity/error_vel_xy,0.6257301568984985
8,Metrics/base_velocity/error_vel_yaw,0.691713809967041
8,Metrics/success_rate,0.09935516119003296
8,Perf/collection_time,4.51912784576416
8,Perf/learning_time,0.22543954849243164
8,Perf/total_fps,20719.0
8,Policy/mean_std,0.9701929688453674
8,Train/mean_episode_length,206.14999389648438
8,Train/mean_reward,-11.305225372314453
9,Curriculum/terrain_levels,3.31634521484375
9,Episode_Reward/action_rate_l2,-0.11647874116897583
9,Episode_Reward/ang_vel_xy_l2,-0.023534929379820824
9,Episode_Reward/dof_acc_l2,-0.19075195491313934
9,Episode_Reward/dof_pos_limits,0.0
9,Episode_Reward/dof_torques_l2,-0.291120707988739
9,Episode_Reward/feet_air_time,-0.0025587535928934813
9,Episode_Reward/flat_orientation_l2,0.0
9,Episode_Reward/lin_vel_z_l2,-0.09200577437877655
9,Episode_Reward/track_ang_vel_z_exp,0.03771548718214035
9,Episode_Reward/track_lin_vel_xy_exp,0.06665118038654327
